,date,SPY
382,2020-09-22,3315.570068359375
383,2020-09-23,3236.919921875
384,2020-09-24,3246.590087890625
385,2020-09-25,3298.4599609375
386,2020-09-28,3351.60009765625
387,2020-09-29,3335.469970703125
388,2020-09-30,3363.0
389,2020-10-01,3380.800048828125
390,2020-10-02,3348.419921875
391,2020-10-05,3408.60009765625
392,2020-10-06,3360.969970703125
393,2020-10-07,3419.43994140625
394,2020-10-08,3446.830078125
395,2020-10-09,3477.139892578125
396,2020-10-12,3534.219970703125
397,2020-10-13,3511.929931640625
398,2020-10-14,3488.669921875
399,2020-10-15,3483.340087890625
400,2020-10-16,3483.81005859375
401,2020-10-19,3426.919921875
402,2020-10-20,3443.1201171875
403,2020-10-21,3435.56005859375
404,2020-10-22,3453.489990234375
405,2020-10-23,3465.389892578125
406,2020-10-26,3400.969970703125
407,2020-10-27,3390.679931640625
408,2020-10-28,3271.030029296875
409,2020-10-29,3310.110107421875
410,2020-10-30,3269.9599609375
411,2020-11-02,3310.239990234375
412,2020-11-03,3369.159912109375
413,2020-11-04,3443.43994140625
414,2020-11-05,3510.449951171875
415,2020-11-06,3509.43994140625
416,2020-11-09,3550.5
417,2020-11-10,3545.530029296875
418,2020-11-11,3572.659912109375
419,2020-11-12,3537.010009765625
420,2020-11-13,3585.14990234375
421,2020-11-16,3626.909912109375
422,2020-11-17,3609.530029296875
423,2020-11-18,3567.7900390625
424,2020-11-19,3581.8701171875
425,2020-11-20,3557.5400390625
426,2020-11-23,3577.590087890625
427,2020-11-24,3635.409912109375
428,2020-11-25,3629.64990234375
429,2020-11-27,3638.35009765625
430,2020-11-30,3621.6298828125
431,2020-12-01,3662.449951171875
432,2020-12-02,3669.010009765625
433,2020-12-03,3666.719970703125
434,2020-12-04,3699.1201171875
435,2020-12-07,3691.9599609375
436,2020-12-08,3702.25
437,2020-12-09,3672.820068359375
438,2020-12-10,3668.10009765625
439,2020-12-11,3663.4599609375
440,2020-12-14,3647.489990234375
441,2020-12-15,3694.6201171875
442,2020-12-16,3701.169921875
443,2020-12-17,3722.47998046875
444,2020-12-18,3709.409912109375
445,2020-12-21,3694.919921875
446,2020-12-22,3687.260009765625
447,2020-12-23,3690.010009765625
448,2020-12-24,3703.06005859375
449,2020-12-28,3735.360107421875
450,2020-12-29,3727.0400390625
451,2020-12-30,3732.0400390625
452,2020-12-31,3756.070068359375
453,2021-01-04,3700.64990234375
454,2021-01-05,3726.860107421875
455,2021-01-06,3748.139892578125
456,2021-01-07,3803.7900390625
457,2021-01-08,3824.679931640625
458,2021-01-11,3799.610107421875
459,2021-01-12,3801.18994140625
460,2021-01-13,3809.840087890625
461,2021-01-14,3795.5400390625
462,2021-01-15,3768.25
463,2021-01-19,3798.909912109375
464,2021-01-20,3851.85009765625
465,2021-01-21,3853.070068359375
466,2021-01-22,3841.469970703125
467,2021-01-25,3855.360107421875
468,2021-01-26,3849.6201171875
469,2021-01-27,3750.77001953125
470,2021-01-28,3787.3798828125
471,2021-01-29,3714.239990234375
472,2021-02-01,3773.860107421875
473,2021-02-02,3826.31005859375
474,2021-02-03,3830.169921875
475,2021-02-04,3871.739990234375
476,2021-02-05,3886.830078125
477,2021-02-08,3915.590087890625
478,2021-02-09,3911.22998046875
479,2021-02-10,3909.8798828125
480,2021-02-11,3916.3798828125
481,2021-02-12,3934.830078125
482,2021-02-16,3932.590087890625
483,2021-02-17,3931.330078125
484,2021-02-18,3913.969970703125
485,2021-02-19,3906.7099609375
486,2021-02-22,3876.5
487,2021-02-23,3881.3701171875
488,2021-02-24,3925.429931640625
489,2021-02-25,3829.340087890625
490,2021-02-26,3811.14990234375
491,2021-03-01,3901.820068359375
492,2021-03-02,3870.2900390625
493,2021-03-03,3819.719970703125
494,2021-03-04,3768.469970703125
495,2021-03-05,3841.93994140625
496,2021-03-08,3821.35009765625
497,2021-03-09,3875.43994140625
498,2021-03-10,3898.81005859375
499,2021-03-11,3939.340087890625
500,2021-03-12,3943.340087890625
501,2021-03-15,3968.93994140625
502,2021-03-16,3962.7099609375
503,2021-03-17,3974.1201171875
504,2021-03-18,3915.4599609375
